ISO,Names
NZL,"[New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand]"
OMN,"[Oman,Oman,Oman,Oman,Sultanate of Oman,Oman]"
PAK,"[Pakistan,Pakistan,Pakistan,Pakistan,Islamic Republic of Pakistan,Pakistan]"
PAN,"[Panama,Panama,Panama,Panama,Republic of Panama,Panama]"
PCN,"[Pitcairn Islands,Pitcairn Islands,Pitcairn Is.,Pitcairn Islands,Pitcairn, Henderson, Ducie and Oeno Islands,Pitcairn Islands]"
PER,"[Peru,Peru,Peru,Peru,Republic of Peru,Peru]"
PHL,"[Philippines,Philippines,Philippines,Philippines,Republic of the Philippines,Philippines]"
PLW,"[Palau,Palau,Palau,Palau,Republic of Palau,Palau]"
PNG,"[Papua New Guinea,Papua New Guinea,Papua New Guinea,Papua New Guinea,Independent State of Papua New Guinea,Papua New Guinea]"
POL,"[Poland,Poland,Poland,Poland,Republic of Poland,Poland]"
PRI,"[Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Commonwealth of Puerto Rico,Puerto Rico]"
PRK,"[North Korea,North Korea,Dem. Rep. Korea,Dem. Rep. Korea,Democratic People's Republic of Korea,Korea, Dem. Rep.]"
PRT,"[Portugal,Portugal,Portugal,Portugal,Portuguese Republic,Portugal]"
PRY,"[Paraguay,Paraguay,Paraguay,Paraguay,Republic of Paraguay,Paraguay]"
PSX,"[Palestine,Palestine,Palestine,Palestine,West Bank and Gaza,Palestine (West Bank and Gaza)]"
PYF,"[French Polynesia,French Polynesia,Fr. Polynesia,French Polynesia,French Polynesia,French Polynesia]"
QAT,"[Qatar,Qatar,Qatar,Qatar,State of Qatar,Qatar]"
ROU,"[Romania,Romania,Romania,Romania,Romania,Romania]"
RUS,"[Russia,Russia,Russia,Russian Federation,Russian Federation,Russian Federation]"
RWA,"[Rwanda,Rwanda,Rwanda,Rwanda,Republic of Rwanda,Rwanda]"
SAH,"[Western Sahara,Western Sahara,W. Sahara,Western Sahara,Sahrawi Arab Democratic Republic,Western Sahara]"
SAU,"[Saudi Arabia,Saudi Arabia,Saudi Arabia,Saudi Arabia,Kingdom of Saudi Arabia,Saudi Arabia]"
SCR,"[Scarborough Reef,Scarborough Reef,Scarborough Reef,Scarborough Reef,,]"
SDN,"[Sudan,Sudan,Sudan,Sudan,Republic of the Sudan,Sudan]"
SDS,"[South Sudan,South Sudan,S. Sudan,South Sudan,Republic of South Sudan,South Sudan]"
SEN,"[Senegal,Senegal,Senegal,Senegal,Republic of Senegal,Senegal]"
SGP,"[Singapore,Singapore,Singapore,Singapore,Republic of Singapore,Singapore]"
SHN,"[Saint Helena,Saint Helena,Saint Helena,Saint Helena,,St. Helena]"
SLB,"[Solomon Islands,Solomon Islands,Solomon Is.,Solomon Islands,,Solomon Islands]"
SLE,"[Sierra Leone,Sierra Leone,Sierra Leone,Sierra Leone,Republic of Sierra Leone,Sierra Leone]"
SLV,"[El Salvador,El Salvador,El Salvador,El Salvador,Republic of El Salvador,El Salvador]"
SMR,"[San Marino,San Marino,San Marino,San Marino,Republic of San Marino,San Marino]"
SOL,"[Somaliland,Somaliland,Somaliland,Somaliland,Republic of Somaliland,Somaliland]"
